id,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,labels
264,,,,,3,1,8500000,0,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0
321,0.04,2.13,1.76,4.87,9,3,5600000,4,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1
697,1.25,1.88,2.25,3.22,4,2,1020000,2,1,0,0,0,0,social,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.5,1
450,4.37,9.36,4.0,9.36,5,3,24510540,2,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2.6667,1
50,3.21,3.21,5.25,7.88,11,1,10000000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1
478,0.04,1.59,2.28,4.39,4,2,10000000,2,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
731,5.64,5.64,4.25,4.25,3,1,10500000,1,0,0,1,0,0,security,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.0,1
795,0.67,2.08,3.03,4.29,23,3,10000000,3,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2.6667,1
566,1.8,1.8,1.92,1.92,8,1,1100000,1,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0,1
466,7.51,9.95,0.42,0.42,3,5,51450000,1,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.6667,1
896,2.12,6.02,2.0,6.51,5,3,21900000,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1
312,1.16,7.5,,,5,4,19000000,0,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.0,1
786,,,0.05,0.05,1,1,150000,1,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0
49,0.19,1.19,1.36,1.66,6,2,1155000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1
706,0.82,0.82,,,0,1,2000000,0,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
909,1.0,6.45,6.53,7.01,28,4,108900000,2,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,7.5,1
874,1.97,3.19,2.25,2.25,5,2,12800000,1,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1
378,2.48,4.82,5.59,11.95,21,2,61500000,3,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4.0,1
496,0.07,4.39,,,15,4,69900000,0,0,0,0,0,1,biotech,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,4.75,1
189,4.65,8.13,6.01,6.01,4,4,7210210,1,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1.0,1
490,,,0.83,0.83,1,1,2000000,1,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
20,2.5,2.83,3.09,3.49,13,2,28000000,3,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0
684,2.92,4.92,2.0,12.51,6,2,16000000,5,0,0,1,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1
495,0.0,2.43,2.43,2.5,8,2,9030000,2,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,0
700,1.16,4.16,3.0,8.92,19,4,33000000,4,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1.3333,1
86,5.44,5.44,,,1,1,1000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0
399,5.08,5.08,4.76,6.05,7,1,5000000,2,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
557,0.0,2.75,3.33,5.24,9,2,20000000,2,0,0,1,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1
232,0.42,1.47,3.13,4.14,12,2,7500000,3,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.5,1
218,1.14,3.74,2.46,3.22,14,3,14229998,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,1
307,4.37,4.37,,,0,1,662000,0,0,0,0,0,1,manufacturing,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.0,0
672,0.92,2.49,2.58,5.38,18,3,22400000,3,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3.3333,1
202,0.0,0.0,,,1,1,45000000,0,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
296,2.82,2.82,0.0,2.82,1,1,20000000,2,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0
351,0.33,0.33,,,3,1,20000,1,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
41,0.0,4.8,3.72,7.62,26,4,33000000,5,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1
825,11.15,11.15,,,0,1,18000000,0,0,0,0,0,1,semiconductor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.0,0
436,4.03,4.08,,,3,2,2257464,0,0,0,0,0,1,biotech,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,0
120,1.75,1.75,1.0,2.11,4,1,575000,2,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,1
96,3.72,3.72,,,1,1,4000000,0,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,0
380,,5.01,4.95,7.37,23,4,19100000,6,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2.5,1
556,1.78,2.39,2.31,4.63,37,2,76000000,3,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.0,1
136,5.16,6.01,,,1,3,25131611,0,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1
227,4.24,4.24,,,1,1,50000000,0,1,0,0,0,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.0,1
266,1.34,1.34,1.35,1.35,3,1,2000000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
39,0.17,2.65,0.61,4.75,10,3,1822922,3,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1
602,3.65,3.65,,,2,1,21000000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,0
756,6.55,8.6,5.0,5.0,4,3,26200000,1,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.5,1
890,0.0,3.45,2.02,3.98,9,4,36000000,3,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3.0,1
782,3.92,9.3,10.75,10.75,10,2,24500000,1,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2.0,1
111,0.79,2.9,3.05,6.52,11,2,2750000,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1
267,1.11,1.94,0.0,1.11,3,2,4100000,2,0,0,0,1,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.5,1
884,1.48,2.25,2.25,2.25,6,2,4000000,1,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1
918,5.63,8.76,8.5,8.76,9,5,122500000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,5.6,1
806,1.0,2.71,,,1,2,12000000,0,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.0,0
131,7.53,7.53,10.73,10.73,2,1,30000000,1,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1
905,4.28,4.28,,,4,1,9000000,0,0,0,0,1,0,other,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.0,0
150,4.16,4.16,5.58,11.39,5,2,24700000,5,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0,1
376,0.36,0.36,0.38,0.54,9,1,100000,3,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0
898,0.0,5.3,5.0,5.0,17,4,34700000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.25,1
765,5.47,8.95,8.84,8.95,4,3,19000000,2,0,0,0,1,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,5.3333,1
344,3.06,5.01,,,2,4,89400001,0,1,0,0,0,0,biotech,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,4.3333,1
448,6.44,9.0,10.01,10.01,10,3,32000000,1,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0,1
710,6.33,7.53,7.17,10.93,8,3,17400000,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.3333,1
799,3.47,3.47,2.0,2.0,3,1,30000000,1,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,1
332,5.57,8.53,5.61,7.84,3,3,36300000,2,1,0,0,0,0,automotive,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1.5,0
271,4.32,5.83,,,1,2,16000000,0,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,0
38,1.06,5.7,,,0,3,44000000,0,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,0
843,0.0,0.0,,,2,1,125000,0,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
234,1.44,6.68,2.0,2.0,7,4,5965000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1
314,0.5,3.1,2.24,3.76,10,3,7300000,3,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2.0,1
34,0.0,0.87,0.41,2.17,3,2,2304999,2,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1
388,7.69,14.03,12.5,14.03,3,3,24150000,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,0
400,0.0,2.54,3.77,5.92,9,3,2515000,3,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.6667,1
866,0.79,4.32,3.98,3.98,5,3,25500000,1,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.6667,1
364,3.34,3.94,,4.72,5,3,1820000,4,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
230,1.68,5.85,8.42,8.42,4,3,27690547,1,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4.5,1
306,4.76,6.22,3.67,6.22,2,2,17000000,2,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.5,1
856,1.93,1.93,1.67,2.47,1,1,12000000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,1
303,0.83,7.25,8.01,8.4,23,7,27300000,4,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,2.0,1
627,2.16,4.96,,,2,2,4000000,0,0,0,0,0,1,messaging,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,0
80,,1.34,0.0,1.55,4,7,457282,2,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0
616,2.0,2.0,3.66,4.08,12,1,11000000,2,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,1
515,3.09,3.09,5.0,5.0,6,1,3100000,1,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.0,1
642,0.42,0.42,,,5,3,5900000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
658,2.1,2.1,2.28,3.17,6,1,4100000,3,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,1
15,4.67,9.0,8.84,8.84,12,5,10700000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1
532,0.02,0.02,0.0,0.0,1,1,30000,1,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,0
746,1.76,2.33,0.88,3.03,12,2,3529175,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0
411,0.0,1.41,1.41,1.41,1,2,3350000,1,1,0,0,0,0,messaging,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.5,0
524,2.22,7.33,7.01,7.01,4,3,11000000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.6667,1
237,1.09,1.09,5.1,7.39,15,1,11500000,2,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,1
101,20.81,20.81,,,2,1,32000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0
21,2.21,3.79,4.09,9.5,8,2,4355000,3,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,1
873,6.94,9.16,6.01,6.01,6,3,13000000,1,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,1
387,1.33,2.06,3.25,3.78,11,2,13000000,2,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,1
718,2.44,2.44,2.33,2.44,10,1,17000000,2,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1
329,0.84,5.75,4.98,7.03,13,5,24750000,3,1,0,0,0,0,music,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2.4,1
83,3.51,3.96,3.95,4.84,5,2,510000000,3,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,0
242,1.21,3.01,,,4,2,7000000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0
291,2.25,5.04,,,2,2,9500000,0,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.0,0
317,0.08,0.08,0.0,0.0,1,1,31000,1,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
622,5.64,5.64,8.01,11.33,9,1,12700000,2,0,0,1,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.0,1
482,0.08,5.04,1.83,1.83,10,3,19743770,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.5,1
797,1.75,9.96,9.34,10.46,35,7,33672656,3,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.0,1
769,0.4,3.76,3.0,3.0,15,4,122000000,1,1,0,0,0,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2.5,1
474,0.58,2.51,0.59,4.97,9,3,1415000,4,1,0,0,0,0,social,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,1
37,0.62,1.59,1.0,4.33,8,2,14600000,3,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,0
571,2.45,5.16,7.67,8.22,7,3,28000000,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.6667,1
184,2.93,4.63,,,13,2,15200000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1
231,2.19,2.19,,,32,1,9000000,0,0,0,0,1,0,semiconductor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,0
233,0.69,1.5,3.42,3.42,9,2,10000000,1,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
773,4.13,6.15,5.57,6.11,10,2,2192000,3,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.0,0
592,2.18,3.31,2.73,3.54,6,2,2000000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.5,1
699,0.17,3.92,0.0,2.92,8,2,14700000,2,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1
575,4.47,4.47,6.75,6.75,6,1,13000000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1
509,1.86,4.6,3.92,6.43,15,4,14800000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2.25,1
819,2.93,5.53,3.92,6.2,6,2,9600000,2,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1
133,0.6,4.22,,4.48,9,3,9500000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.0,1
43,0.1,2.39,2.33,2.79,7,2,4000000,2,1,0,0,0,0,travel,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,0
486,1.75,3.55,2.0,2.0,4,2,80000000,1,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0
883,0.11,4.73,,,0,4,19550000,0,0,0,0,1,0,consulting,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1.0,0
702,0.24,3.76,2.42,3.88,10,4,33000000,3,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4.0,0
631,0.77,0.77,0.0,0.0,1,1,50000,1,1,0,0,0,0,messaging,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0
845,0.25,0.64,1.27,1.75,6,2,532000,2,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1
84,3.93,4.68,4.0,4.0,3,2,18250000,1,1,0,0,0,0,search,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1
820,0.25,7.42,3.92,10.92,9,5,58200000,3,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1.4,1
158,1.67,3.67,3.67,3.67,12,2,4000000,3,0,0,1,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0,1
318,1.75,2.73,1.75,6.15,16,3,21500000,4,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1
60,5.2,6.19,7.51,12.89,6,2,10000000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1
451,5.65,5.65,,,0,1,2500000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0
226,2.0,4.39,1.58,4.19,7,4,30000000,2,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2.0,0
652,1.81,2.45,0.75,0.75,2,2,1175000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0
28,4.07,4.07,3.42,5.23,2,1,3800000,3,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1
441,0.3,0.3,1.59,1.67,3,1,400000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1
112,2.92,4.73,,,1,2,30000000,0,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1
259,4.0,5.75,5.92,6.0,6,4,89500000,2,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1.0,0
550,3.76,3.76,,8.67,2,1,22000000,3,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1
